Letter title,Date,To Address,From Address,Addresses mentioned,Persons,Places,Organizations,Works,Events
Autograph Letter Signed W. H. Auden to Stella Musulin 1968-10-15,10/15/1968,Neulinggasse 26 Wien III,32 Bryanston Square London. W.I. England,77 St Mark's Place New York City New York 10003 U.S.A ; Wien VII Schweighofergasse 4/21,Peter Heyworth; Otto Hoffman,Oxford; Neulengbach;,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1968-10-24,10/24/1968,,32 Bryanston Square London. W.I. England,77 St Mark's Place New York City New York 10003 U.S.A ,Peter Heyworth; “the Langers” (his tenants?),,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1968-11-06,11/6/1968,Neulinggasse 26 Wien III,77 St Mark's Place New York City New York 10003 U.S.A ,,,The U.S.,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1968-12-13,12/13/1968,Neulinggasse 26 Wien III,77 St Mark's Place New York City New York 10003 U.S.A ,,Jean Boras; Chester Kallman,Athens; Vienna; Kirchstetten,,,death of Jean Boras
Autograph Letter Signed W. H. Auden to Stella Musulin 1968-12-29,12/29/1968,Neulinggasse 26 Wien III,77 St Mark's Place New York City New York 10003 U.S.A ,Wien VII Schweighofergasse 4/21,Jean Boras; Otto Hoffmann; Chester Kallman,Vienna;,,,death of Jean Boras
Autograph Letter Signed W. H. Auden to Stella Musulin 1969-01-04,1/4/1969,Neulinggasse 26 Wien III,77 St Mark's Place New York City New York 10003 U.S.A ,Wien VII Schweighofegasse 4/21; Wien XIX Paradisgasse 55,Jean Boras; Chester Kallman; Otto Hoffmann; Auden’s housekeeper; Dr Walter Redlich,Vienna; ,,,death of Jean Boras
Autograph Letter Signed W. H. Auden to Stella Musulin 1969-05-21,5/21/1969,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,,,,,a Royal Visit
Autograph Letter Signed W. H. Auden to Stella Musulin 1969-06-10,6/10/1969,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,,,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1970-06-10,6/10/1970,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,Chester Kallman,"Krems; Vienna, Fridau",,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1970-07-06,7/6/1970,2 Seaforth St. Julian's Street TENBY Pembrokeshire;,Hinterholz 6 Kirchstetten N.Ö.,,Chester Kallman; Anton Bruckner; Klemens von Metternich; Adalbert Stifter; Ferdinand Raimund; Johann Nestroy, Vienna,,“Austria and the Austrians”; “The Life and Adventures of Peter Prosch”,the Biedermayer period
Autograph Letter Signed W. H. Auden to Stella Musulin 1970-09-18,9/18/1970,Fridau Obergrafendorf bei St. Pölten N.Ö.,Hinterholz 6 Kirchstetten N.Ö.,,,,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1971-06-04,6/4/1971,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,,,,“A Certain World”,
Autograph Letter Signed W. H. Auden to Stella Musulin 1972-02-22,2/22/1972,Fridau Obergrafendorf bei St. Pölten N.Ö.,77 St Mark's Place New York City New York 10003 U.S.A ,,,Kirchstetten; Oxford; New York,,,
Autograph Letter Signed W. H. Auden to Stella Musulin 1973-09-24,9/24/1973,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,,the Hotel Altburgenhof,,,
Autograph Letter Signed W. H. Auden to Stella Musulin [?]-[?]-[15],,,Hinterholz 6 Kirchstetten N.Ö.,,,,,,
"Autograph Letter Signed W. H. Auden to Stella Musulin with Typescript W. H. Auden ""Freedom and Necessity in the Arts"" 1970-05-2",5/21/1970,,,,“Landeshauptmann” (of Lower Austria?); Goethe; St. Augustine; Giovanni Palestrina; Wolfgang Mozart; Igor Stravinsky; Pablo Picasso; TS Eliot; Karl Kraus; Dante Alighieri; William Shakespeare; Michelangelo; Titian; Ludwig van Beethoven; Plato; Samuel Johnson; D.H. Lawrence,Neulengbach; Pennine Moors in the North of England ,,"""Freedom and Necessity in the Arts""; “Das Sonnett”; “Confessions of St. Augustine”; “Pro Domo et Mundo”; “Le Sacre du Printemps”; “Doggerel by a Senior Citizen”",First World War; 
"Autograph Letter Signed W. H. Auden to Stella Musulin with Typescript W. H. Auden  ""Joseph Weinheber"" 1965-04-28",4/28/1965,Fridau Obergrafendorf bei St. Pölten N.Ö.,Hinterholz 6 Kirchstetten N.Ö.,,"Joseph Weinheber; Joseph Goebbels, Franz Jägerstätter",Sichelbach; Perschling,," ""Joseph Weinheber""",
"Autograph Letter Signed W. H. Auden to Stella Musulin with Typescript W. H. Auden ""Stark Bewölkt"" 1971-10-19",10/19/1971,Neulinggasse 26 Wien III,15 Loudoun Rd London N.W.8 ,,“Spender”,Vienna,Faber and Faber; Staatsoper,"""Stark Bewölkt""; “Austria and the Austrians”",
"Autograph Letter Signed W. H. Auden to Stella Musulin with Typescripts W. H. Auden ""August 1968"" and ""Elegy"" 1968-10-04",10/4/1968,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,Emma Eiermann; Josef (Eiermann? - Emma’s brother),,,"""August 1968""; ""Elegy"" ",Prague Spring
Envelope W. H. Auden to Stella Musulin 1961-[?]-[25],,Fridau Obergrafendorf bei St. Pölten N.Ö.,Hinterholz 6 Kirchstetten N.Ö.,,,,,,
Envelope W. H. Auden to Stella Musulin 1962-04-30,4/30/1962,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,,,,,
Letter W. H. Auden to Stella Musulin 1961-08-16,8/16/1961,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,,Fridau; Obergrabendorf,Die Presse,,
Letter W. H. Auden to Stella Musulin 1962-09-11,9/11/1962,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,,Vienna; Fridau,,,
Telegram W. H. Auden to Stella Musulin 1971-05-13,5/13/1971,Neulinggasse 26 Wien III,,,,,,,
Typed Letter Signed W. H. Auden to Stella Musulin 1961-10-13,10/13/1961,Neulinggasse 26 Wien III,Hinterholz 6 Kirchstetten N.Ö.,,“Herr Fritsch”,,,,
Typed Letter Signed W. H. Auden to Stella Musulin 1966-02-03,2/3/1966,Fridau Obergrafendorf bei St. Pölten N.Ö.,77 St Mark's Place New York City New York 10003 U.S.A ,,“Stephen”; Dante Alighieri; William Shakespeare; Goethe; Titian; Mozart; Chester Kallman; “Harrison”,,,,
"Typed Letter Signed W. H. Auden to Stella Musulin with Typescript W. H. Auden ""Joseph Weinheber"" 1965-03-15",3/15/1965,Neulinggasse 26 Wien III,Berlin-Dahlem Hubertusbaderstrasse 43 Deutschland;,,"Joseph Weinheber; Joseph Goebbels, Franz Jägerstätter",Kirchstetten; Sichelbach; Perschling,,"""Joseph Weinheber""; “Auf das Unabwendbare”; “Kammermusik”",
